id,title,authors,publisher,publishedDate,categories,price,pages
hVFwAAAAQBAJ,Ogilvy on Advertising,['David Ogilvy'],Vintage,2013-09-11,['Social Science'],72.99,320
bRY9AAAAYAAJ,Foreign Publications for Advertising American Goods,['United States. Bureau of Foreign and Domestic Commerce'],,1913,['Advertising'],469.99,654
ZapAAAAAIAAJ,Advertising and the Public Interest,"['John A. Howard', 'James Hulbert']",,1973,['Advertising'],372.0,784
A-HthMfF5moC,Profitable Advertising,,,1894,['Advertising'],240.99USD,559
4Z9JAAAAMAAJ,Report of the Federal Trade Commission on Distribution Methods and Costs: Advertising as a factor in distribution,['United States. Federal Trade Commission'],,1944,['Government publications'],539.0,757
K5SYITH0vRIC,Advertising of Alcoholic Beverages. H.R. 4627,['United States. Congress. House. Committee on Interstate & Foreign Commerce'],,1956,,484.5,682
TH8SSrWcVQ4C,Advertising Your Small Business,,,1984,['Advertising'],400.99,635
ZjZOAAAAMAAJ,Library of Advertising,['Axel Petrus Johnson'],,1911,['Advertising'],*35.99,428
uFy7zQEACAAJ,Advertising,['Roderick White'],,1980,['Advertising'],438.5,569
mR9eAgAAQBAJ,Negative Political Advertising,"['Karen S. Johnson-Cartee', 'Gary Copeland']",Routledge,2013-12-16,['Business & Economics'],311.99,640
hCVACwAAQBAJ,The Psychology of Advertising,"['Bob M. Fennis', 'Wolfgang Stroebe']",Psychology Press,2015-12-22,['Psychology'],205.0,526
1Gc_SPKCZY8C,Control of Advertising on Interstate Highways,['United States. Congress. Senate. Committee on Public Works'],,1957,,400.99,669
P1AoDwAAQBAJ,Reality In Advertising,['Rosser Reeves'],Lulu.com,2017-06-09,['Business & Economics'],384.0,506
DT2UBgAAQBAJ,The Devil's Grin,['Annelie Wendeberg'],Annelie Wendeberg,2015-02-09,['Fiction'],,730
rcRfT5Doh1kC,Advertising,['Murthy'],Excel Books India,2009,['Advertising'],376.99,707
eLgobuBJQXYC,Advertising Management,['Manendra Mohan'],Tata McGraw-Hill Education,1989,['Advertising'],375.5,583
trqPlpLpjyAC,Advertising Management,['Batra'],Pearson Education India,2009,['Advertising'],479.99,514
tAyspwAACAAJ,The Advertising Concept Book,['Pete Barry'],,2012,['Advertising'],324.0,764
G4fves4jOuMC,Advertising in India,['Oma Gupta'],Gyan Publishing House,2005,['Advertising'],259.5,529
qPTH2LBNcJEC,Advertising and Sales Promotion,,Nirali Prakashan,1969,['Advertising'],434.99,421
HY5qgKfwmsEC,"Advertising to the American Woman, 1900-1999",['Daniel Delis Hill'],Ohio State University Press,2002,['Art'],536.99,859^
hqafM0xZjqIC,Advertising the American Dream,['Roland Marchand'],Univ of California Press,1985,['Social Science'],285.99,846
