id,patron_id,library_id,date_checkout,date_returned
-xFj0vTLbRIC,b071c9c68228a2b1d00e6f53677e16da,225-222@5xc-jtz-hkf,2019-01-28,2018-11-13
HUX-y4oXl04C,8d3f63e1deed89d7ba1bf6a4eb101373,223-222@5xc-jxr-tgk,2018-05-29,2018-06-12
TQpFnkku2poC,4ae202f8de762591734705e0079d76df,228-222@5xc-jtz-hwk,2018-11-23,2019-01-24
OQ6sDwAAQBAJ,f9372de3c8ea501601aa3fb59ec0f524,23v-222@5xc-jv7-v4v,2018-01-15,2018-04-25
7T9-BAAAQBAJ,2cf3cc3b9e9f6c608767da8d350f77c9,225-222@5xc-jtz-hkf,2018-12-31,1804-01-23
iGoXAQAAMAAJ,80f93362e97d9f6108ea781e57739214,22c-222@5xc-jwj-pvz,2018-04-07,1815-08-11
CW-7tHAaVR0C,dd9f34e9d65126a2b02003d8ac60aaa4,22c-222@5xc-jwj-pvz,2018-01-10,2018-02-04
Cr74DwAAQBAJ,69a2fbbf7aaad8ac0729e55d85858b0e,23v-222@5xc-jv7-v4v,2106-02-26,2018-12-10
t1e3BWziAc8C,3b85b2c7b424618f533329018e9a11d5,222-222@5xc-jv5-nt9,2018-06-23,2018-07-14
2mtCAAAAYAAJ,365ab35282c5d61b319ff9cc3628e624,228-222@5xc-jtz-hwk,2018-08-07,2018-08-25
BTCUDwAAQBAJ,24e7301ed042acfdddfbf177c94ca7b9,227-222@5xc-jww-btv,2018-10-05,2018-10-31
MOewp6bCFfgC,7fd53f66a6d4cd12875487af4008bb08,223-222@5xc-jxr-tgk,2018-04-30,2018-08-30
H31XAAAAMAAJ,29dbdfe6a3b7df19bbd9b3c2655f942d,23v-222@5xc-jv7-v4v,2018-04-09,2018-04-19
p2C0y3hbe5EC,96aa3f310b38bbe8eaee07f1f98552da,zzw-222@5xc-knn-c5z,2018-01-01,2018-03-05
krW85fjSjR8C,36255d04094d17b41cd1e8ecb6b04fb3,224-222@5xc-jw2-t9z,2018-06-18,2018-06-23
VL0QGySiaDMC,abd2d3be496cc37bdba789ebd5845d20,zzw-222@5xc-knn-c5z,2018-04-25,2018-05-03
9q1LAQAAIAAJ,f8a72c6a5966f96150da7214377691d1,226-222@5xc-kc4-fpv,2018-02-19,2018-02-27
2uuX1zhTFakC,4d83f0f2d9a86128c99b8d820b512b05,222-222@5xc-jv5-nt9,2018-08-12,2018-08-28
ZjZOAAAAMAAJ,1342d5bb4ef4cd800f3833f495ba12eb,23v-222@5xc-jv7-v4v,2018-02-28,2018-03-10
BdxRAQAAMAAJ,ca6449c11078de33aa8c6712cf03230b,zzw-223@5xc-jv7-ct9,2018-01-04,2018-01-26
DMFS2GsTdO4C,1869261885124dac25a6360fb76a141c,222-222@5xc-jxp-rp9,2018-09-07,2018-10-02
trqPlpLpjyAC,21d1bb3a22811b8d490076e81288dfdb,zzw-222@5xc-knn-c5z,2100-01-05,2018-04-29
z9-lHMQjvD0C,38af15799ea59545dc09deb1186dba56,zzw-223@5xc-jv7-ct9,2018-06-01,2018-06-18
pIIkAQAAMAAJ,fce6305084f5d1bb2ce00b382c2b8fd2,222-222@5xc-jv5-nt9,2018-02-06,2018-06-20
Oxw2AQAAMAAJ,6429b0864d96292215928ffc7133509f,228-222@5xc-jtz-hwk,2018-05-16,2018-05-28
ygoFAAAAQAAJ,bffbe38c9bb49b94741822dc0bf3d3a0,227-222@5xc-jww-btv,2018-02-24,1810-02-11
eddEAQAAMAAJ,9bd740bd44dff335cc4739b5ff706521,222-222@5xc-jxp-rp9,2018-04-13,2018-05-05
OK_0vJSsRKkC,56058d7b06f78e2b6cb6582a7d004f03,222-222@5xc-kkw-bzf,2018-11-29,2018-12-24
